组别,作者,标题,年份,来源,卷,期,页码,类型,DOI,被引用次数,核心,关键词,编号,来源链接
英文-空间非局部Burgers,"Achleitner F, Cuesta C M, Hittmeir S",Travelling waves for a non-local Korteweg-de Vries-Burgers equation,2014,Journal of Differential Equations,257,3,720-758,[J],10.1016/j.jde.2014.04.015,22,SCI收录,非局部扩散;KdV-Burgers方程;行波;分数阶扩散,21,https://doi.org/10.1016/j.jde.2014.04.015
英文-交通流,"Aw A, Rascle M","Resurrection of ""second order"" models of traffic flow",2000,SIAM Journal on Applied Mathematics,60,3,916-938,[J],10.1137/S0036139997332099,1350,SCI收录,交通流;二阶模型;守恒律;特征速度,22,https://doi.org/10.1137/S0036139997332099
英文-空间非局部Burgers,Benzoni-Gavage S,Local well-posedness of nonlocal Burgers equations,2009,Differential and Integral Equations,22,3/4,303-320,[J],10.57262/die/1356019776,27,期刊(MathSciNet/zbMATH收录),非局部Burgers方程;适定性;爆破;表面波,23,https://doi.org/10.57262/die/1356019776
英文-经典基础,Burgers J M,A mathematical model illustrating the theory of turbulence,1948,Advances in Applied Mechanics,1,,171-199,[M],10.1016/S0065-2156(08)70100-5,2497,专著章节,Burgers方程;湍流;数学模型,24,https://doi.org/10.1016/S0065-2156(08)70100-5
英文-空间非局部Burgers,Chmaj A J J,Existence of traveling waves for the nonlocal Burgers equation,2007,Applied Mathematics Letters,20,4,439-444,[J],10.1016/j.aml.2006.05.011,12,SCI收录,非局部Burgers方程;卷积源;行波;辐射气体,25,https://doi.org/10.1016/j.aml.2006.05.011
英文-空间非局部Burgers,"Coclite G M, De Nitti N, Keimer A, Pflug L, Zuazua E",Long-time convergence of a nonlocal Burgers' equation towards the local N-wave,2023,Nonlinearity,36,11,5998-6019,[J],10.1088/1361-6544/acf01d,6,SCI收录,非局部Burgers方程;单侧指数核;N波;长时间渐近,26,https://doi.org/10.1088/1361-6544/acf01d
英文-经典基础,Cole J D,On a quasi-linear parabolic equation occurring in aerodynamics,1951,Quarterly of Applied Mathematics,9,3,225-236,[J],10.1090/qam/42889,1799,SCI收录,拟线性抛物方程;Cole-Hopf变换;气体动力学,27,https://doi.org/10.1090/qam/42889
英文-空间非局部Burgers,"Goodchild S, Yang H",Local well-posedness of a nonlocal Burgers' equation,2016,"Involve, a Journal of Mathematics",9,1,67-82,[J],10.2140/involve.2016.9.67,4,期刊(MathSciNet/zbMATH收录),空间位移u(x±h);非局部平流;适定性;爆破;数值模拟,28,https://doi.org/10.2140/involve.2016.9.67
英文-时间延迟Burgers,"Herron I, McCalla C, Mickens R",Traveling wave solutions of Burgers' equation with time delay,2020,Applied Mathematics Letters,107,,106496,[J],10.1016/j.aml.2020.106496,13,SCI收录,时间延迟Burgers方程;行波;临界延迟;单调解,29,https://doi.org/10.1016/j.aml.2020.106496
英文-经典基础,Hopf E,The partial differential equation u_t+uu_x=μu_xx,1950,Communications on Pure and Applied Mathematics,3,3,201-230,[J],10.1002/cpa.3160030302,1622,SCI收录,Burgers方程;Cole-Hopf变换;激波,30,https://doi.org/10.1002/cpa.3160030302
英文-空间非局部Burgers,"Imbert C, Shvydkoy R, Vigneron F",Global well-posedness of a non-local Burgers equation: the periodic case,2016,Annales de la Faculte des Sciences de Toulouse. Mathematiques,25,4,723-758,[J],10.5802/afst.1509,7,期刊(MathSciNet/zbMATH收录),非局部Burgers方程;奇异积分;周期初值;全局适定性,31,https://doi.org/10.5802/afst.1509
英文-趋化与守恒律,"Keller E F, Segel L A",Model for chemotaxis,1971,Journal of Theoretical Biology,30,2,225-234,[J],10.1016/0022-5193(71)90050-6,2012,SCI收录,趋化;Keller-Segel模型;守恒律;稳定性,32,https://doi.org/10.1016/0022-5193(71)90050-6
英文-时间延迟Burgers,"Kim H, Sakthivel R",Travelling wave solutions for time-delayed nonlinear evolution equations,2010,Applied Mathematics Letters,23,5,527-532,[J],10.1016/j.aml.2010.01.005,31,SCI收录,时间延迟Burgers方程;行波;精确解;展开法,33,https://doi.org/10.1016/j.aml.2010.01.005
英文-时间延迟Burgers,"Komornik V, Pignotti C",Well-posedness and exponential decay estimates for a Korteweg-de Vries-Burgers equation with time-delay,2020,Nonlinear Analysis,191,,111646,[J],10.1016/j.na.2019.111646,23,SCI收录,时间延迟;KdV-Burgers方程;适定性;指数衰减;李雅普诺夫泛函,34,https://doi.org/10.1016/j.na.2019.111646
英文-交通流,"Lighthill M J, Whitham G B",On kinematic waves II: a theory of traffic flow on long crowded roads,1955,Proceedings of the Royal Society of London. Series A,229,1178,317-345,[J],10.1098/rspa.1955.0089,5443,SCI收录,交通流;运动学波;守恒律;Burgers方程,35,https://doi.org/10.1098/rspa.1955.0089
英文-时间延迟Burgers,Liu W,Asymptotic behavior of solutions of time-delayed Burgers' equation,2002,Discrete and Continuous Dynamical Systems - Series B,2,1,47-56,[J],10.3934/dcdsb.2002.2.47,52,SCI收录,时间延迟Burgers方程;指数稳定;李雅普诺夫方法;数值模拟,36,https://doi.org/10.3934/dcdsb.2002.2.47
英文-时间延迟Burgers,"Smaoui N, Mekkaoui M",The generalized Burgers equation with and without a time delay,2004,Journal of Applied Mathematics and Stochastic Analysis,2004,1,73-96,[J],10.1155/S1048953304210012,12,期刊(MathSciNet/zbMATH收录),广义Burgers方程;时间延迟;指数稳定;伪谱方法,37,https://doi.org/10.1155/S1048953304210012
英文-空间非局部Burgers,"Tan J, Vigneron F",Global well-posedness and long-time asymptotics of a general nonlinear non-local Burgers equation,2024,Acta Applicandae Mathematicae,192,1,8,[J],10.1007/s10440-024-00672-z,0,SCI收录,非局部Burgers方程;分数阶扩散;全局适定性;长时间渐近,38,https://doi.org/10.1007/s10440-024-00672-z
英文-时间延迟Burgers,"Tang Y, Wang M",A remark on exponential stability of time-delayed Burgers equation,2009,Discrete and Continuous Dynamical Systems - Series B,12,1,219-225,[J],10.3934/dcdsb.2009.12.219,24,SCI收录,时间延迟Burgers方程;指数稳定;不动点定理;比较原理,39,https://doi.org/10.3934/dcdsb.2009.12.219
英文-时间延迟Burgers,Ueda Y,Linear stability of the non-zero equilibrium state for the viscous Burgers equation with time delay,2025,Japan Journal of Industrial and Applied Mathematics,42,5,2057-2072,[J],10.1007/s13160-025-00706-5,2,SCI收录,时间延迟;黏性Burgers方程;非零平衡态;线性稳定性;特征方程,40,https://doi.org/10.1007/s13160-025-00706-5
